,Twitter Query: #inditexcareers OR #morethanajob OR #pullandbearcommunity OR #Stradilooks -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
02/02/2020 00:15,@ayrshirekelc,@AyrshireKelc,Remember to register for our event @AyrshireColl Kilmarnock Campus #bustingthemyths for career influencers to increase knowledge and further support the development of our highly skilled and dedicated workforce #therightpeople #raisetheprofile #morethanajob #bestjobintheworld RT @AyrshireColl: Early Years Needs You! Register for our Regional Showcase event on 11 February and help us raise the profile of Early Years as a broader skills-based profession. Register here -  See the day's programme here -,1223746791415386112,"https://twitter.com/ayrshirecoll/status/1223692510763134976
http://ow.ly/Cj6f50y99Fl
http://ow.ly/2HxB50y99Fj",https://pbs.twimg.com/media/EPtt2ooWAAUujjo.jpg,,0,0,Twitter for iPhone,156,357,0,,01/10/2019,"Kilmarnock, Scotland",Welcome to the official Ayrshire College (Kilmarnock Campus) Early Years Twitter account. It won’t always be easy but it will be worth it 💖,http://www1.ayrshire.ac.uk,,View
01/02/2020 20:01,@DeltaCoMemHos,Delta County Memorial Hospital,DCMH is currently hiring for a Clinical Dietitian to provide clinical nutrition services to patients throughout DCMH. To apply please complete our online application at:  or contact our Human Resources Department at 970.874.6423 #MoreThanAJob,1223682712868990977,http://bit.ly/DCMHCareers,https://pbs.twimg.com/media/EPtk8JBXUAMGyaf.png,,0,0,Hootsuite Inc.,56,144,3,,12/12/2017,"Delta, CO","We are a nonprofit hospital whose goal is to be the people's 1st choice for accessible, high quality health services & enhance the well-being of the community.",http://www.deltahospital.org/,,View
01/02/2020 14:25,@ReadingCollege,Reading College,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598148213407745,,https://pbs.twimg.com/media/EPsYB_VWoAAeqSy.jpg,,0,1,Hootsuite Inc.,4001,685,91,,03/03/2009,"Reading, Berkshire","The college that helps its students go further. Courses from entry to degree level, apprenticeships and helping the unemployed into work.",https://www.activatelearning.ac.uk/reading/,,View
01/02/2020 14:25,@BB_College,Banbury and Bicester College,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598140034625538,,https://pbs.twimg.com/media/EPsYBhSW4AAhcwg.jpg,,0,0,Hootsuite Inc.,1093,338,32,,04/10/2013,Oxfordshire,Official Banbury and Bicester College Twitter account. Apply now for September 2020!,https://www.activatelearning.ac.uk/banbury-bicester/,,View
01/02/2020 14:25,@ActivateTweets,Act. Apprenticeships,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598139887816705,,https://pbs.twimg.com/media/EPsYBefWAAEO_lZ.jpg,,0,0,Hootsuite Inc.,1014,719,44,,12/03/2012,,"We are the largest apprenticeship provider in our region, with over 1,000 vacancies yearly, working with over 2,000 businesses.",http://www.activateapprenticeships.co.uk,,View
01/02/2020 14:25,@Activate_Learn,Activate Learning,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598136150646785,,https://pbs.twimg.com/media/EPsYBRAWoAEejoh.jpg,,0,1,Hootsuite Inc.,3088,1082,71,,04/07/2011,Oxfordshire,"Activate Learning combines secondary, further and higher education with workforce training and social enterprise. https://www.facebook.com/pages/Activate-Learni",http://www.activatelearning.ac.uk/,,View
01/02/2020 14:25,@CityofOxfordCol,City of Oxford College,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598136104493060,,https://pbs.twimg.com/media/EPsYBR7WkAEUvQ0.jpg,,0,0,Hootsuite Inc.,1606,469,37,,29/10/2013,Oxfordshire,Official City of Oxford College Twitter. Apply now for courses starting in September 2020!,https://www.activatelearning.ac.uk/oxford,,View
01/02/2020 14:25,@BracWokCollege,Bracknell and Wokingham College,It’s only 3 days till #NAW2020 begins! 😃 We’re very excited to see the best of apprentices celebrated. We also have plenty in store for you throughout the week! #morethanajob #blazeatrail #fireitup,1223598135789998080,,https://pbs.twimg.com/media/EPsYBRkWoAEaXht.jpg,,0,1,Hootsuite Inc.,2371,1054,22,,15/10/2012,"Bracknell, England",Official Bracknell and Wokingham College Twitter account. Apply now for courses starting in September 2020!,https://www.activatelearning.ac.uk/bracknell-wokingham,,View
01/02/2020 13:43,@endopnp,"Lisa Davis MSN, APRN, CPNP",1st Pediatric Endocrine Update in the books! #bestendoteamever @AkronChildrens (a few missing 🤭) #morethanajob,1223587711149334528,,https://pbs.twimg.com/media/EPsOibBW4AEJyuo.jpg,,0,8,Twitter for iPhone,170,293,10,,21/06/2015,"Akron, OH","Pediatric Endocrinology Practitioner~Akron Children's Hospital ~ Board of Directors, PENS *All tweets are my own*",,,View
