,"Twitter Query: lang:en -filter:retweets -filter:replies from:inditexcreers OR from:Bershka, OR from:bershka_japan, OR from:Bershka_ES OR from:leftiesofficial OR from:massimodutti OR from:oysho OR from:pullandbear OR from:stradivarius OR from:uterqueOfficial OR from:ZARA, OR from:ZARA_Care OR from:zarahome",,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
02/02/2020 10:00,@bershka_japan,Bershka Japan,Need them all! ✨ ✨,1223893821261406208,,https://pbs.twimg.com/media/EPnMxfSUEAIcAFr.jpg,,2,15,TweetDeck,22713,71,156,✅,25/02/2011,Tokyo,バルセロナ発モードカジュアルブランドBershka(ベルシュカ)のJAPAN公式アカウント。 FB ▶︎ https://m.facebook.com/BershkaJapan/,http://bers.hk/TW,,View
01/02/2020 21:00,@pullandbear,Pull&Bear,All about those prints 💚 #newin #pullandbear,1223697608771866624,http://pullandbear.site/greenprints,https://pbs.twimg.com/media/EPtyfNWXUAAAZ7Y.jpg,,1,15,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
01/02/2020 14:00,@pullandbear,Pull&Bear,Pale purple is the best purple... 🤚 if you agree #newin #pullandbear,1223591870309289984,http://pullandbear.site/palepurple,https://pbs.twimg.com/media/EPsSUeaWkAA9Aw2.jpg,,2,31,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
31/01/2020 21:00,@pullandbear,Pull&Bear,Which one is your fave flower? 🌺🌸🌼🌻 #pullandbear #newin,1223335259405717504,http://pullandbear.site/flower1213,https://pbs.twimg.com/media/EPoo7rDWoAEo5Rp.jpg,,0,18,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
31/01/2020 18:58,@ZARA,ZARA,The shirt is elevated this season with new shapes and colors,1223304484358643713,https://go.zara/poplinshirt-t,https://pbs.twimg.com/media/EPoM78yX4AwdAGD.jpg,,4,48,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
31/01/2020 15:00,@ZARA,ZARA,Our latest arrivals this week have new prints to step into February in style,1223244666000367616,https://go.zara/poplindress-t,https://pbs.twimg.com/media/EPnWhzHXUAAWmWL.jpg,,5,80,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
31/01/2020 14:32,@Bershka,Bershka,YASS! It's happening!!🔮🌙 SAILOR MOON!,1223237667770503169,http://bers.hk/SailorMoonTee,https://pbs.twimg.com/media/EPnQKyPWAAUEWRL.jpg,,43,195,Twitter Web App,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
31/01/2020 14:04,@pullandbear,Pull&Bear,🌸Our soul speaks in flowers 🌸 #newin #pullandbear,1223230469929603073,http://pullandbear.site/purple54984,https://pbs.twimg.com/media/EPnJoHsX4AAPcoq.jpg,,1,26,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
31/01/2020 13:51,@bershka_japan,Bershka Japan,Drop'em below😮,1223227247491833856,,https://pbs.twimg.com/media/EPnGsUrVAAA-Pf4.jpg,,0,12,Twitter Web App,22713,71,156,✅,25/02/2011,Tokyo,バルセロナ発モードカジュアルブランドBershka(ベルシュカ)のJAPAN公式アカウント。 FB ▶︎ https://m.facebook.com/BershkaJapan/,http://bers.hk/TW,,View
